dataset,image_index,sigma_true,nu,sigma_hat_krishnan,psnr_diagnostic,ssim_diagnostic,lpips_diagnostic
CelebA,242,0.5,0.01,1.130942940711975,28.321438754142708,0.7684996724128723,0.14815302193164825
CelebA,243,0.5,0.01,1.1650879383087158,28.436727495905178,0.8493747711181641,0.1269301176071167
CelebA,244,0.5,0.01,1.0978327989578247,29.9634991821446,0.896958589553833,0.052587077021598816
CelebA,245,0.5,0.01,1.4030661582946777,26.29962133734521,0.7494044899940491,0.18951188027858734
CelebA,246,0.5,0.01,1.3113282918930054,30.302393762262746,0.9092597365379333,0.06724239140748978
CelebA,247,0.5,0.01,1.3837075233459473,27.8512029173841,0.767673671245575,0.19703011214733124
CelebA,248,0.5,0.01,1.3281493186950684,28.18276191749545,0.8169981837272644,0.12101387977600098
CelebA,249,0.5,0.01,1.1624971628189087,28.27849295832985,0.7956474423408508,0.14912079274654388
CelebA,0,0.5,0.05,1.6132060289382935,25.83626029232228,0.7625977993011475,0.14991235733032227
CelebA,1,0.5,0.05,1.0218391418457031,28.522191923626664,0.8729408383369446,0.06727501004934311
CelebA,2,0.5,0.05,1.2713326215744019,28.83250593329948,0.8347203135490417,0.12809213995933533
CelebA,3,0.5,0.05,1.0697388648986816,30.045507497459635,0.8993855118751526,0.10952818393707275
CelebA,4,0.5,0.05,1.2895301580429077,28.373716835985814,0.850311815738678,0.10508392751216888
CelebA,5,0.5,0.05,1.3296682834625244,26.196503136164715,0.8251156806945801,0.17037111520767212
CelebA,6,0.5,0.05,1.1558653116226196,29.79860761394236,0.8116481900215149,0.18371430039405823
CelebA,7,0.5,0.05,1.3476470708847046,27.30971446620679,0.8066144585609436,0.22569581866264343
CelebA,8,0.5,0.05,1.0724120140075684,29.275636945677096,0.8130367398262024,0.143865704536438
CelebA,9,0.5,0.05,1.268010139465332,25.829557406859564,0.8587136268615723,0.12447571754455566
CelebA,10,0.5,0.05,1.2912846803665161,28.58500196974245,0.8735964298248291,0.12398404628038406
CelebA,11,0.5,0.05,1.2957202196121216,28.107359616204167,0.8523133397102356,0.11476808041334152
CelebA,12,0.5,0.05,1.2043633460998535,28.256116470382892,0.8155309557914734,0.16410425305366516
CelebA,13,0.5,0.05,1.2747195959091187,29.00788332070451,0.8449557423591614,0.10396197438240051
CelebA,14,0.5,0.05,1.1379635334014893,30.58350989741806,0.8903560638427734,0.11097808927297592
CelebA,15,0.5,0.05,1.0008996725082397,30.442142475480587,0.8610997200012207,0.15244252979755402
CelebA,16,0.5,0.05,1.6177096366882324,25.785748520068296,0.7999821305274963,0.18675003945827484
CelebA,17,0.5,0.05,1.387642502784729,29.203424804121866,0.8471367359161377,0.13584035634994507
CelebA,18,0.5,0.05,1.3333674669265747,29.834823222617175,0.8928821086883545,0.10839111357927322
CelebA,19,0.5,0.05,1.240061640739441,29.701301880949977,0.8971257209777832,0.06361157447099686
CelebA,20,0.5,0.05,1.5237191915512085,28.246727414955206,0.8992762565612793,0.06416654586791992
CelebA,21,0.5,0.05,1.473877191543579,25.808626088233115,0.8060606122016907,0.09112262725830078
CelebA,22,0.5,0.05,1.2163549661636353,28.129931550441324,0.8512789607048035,0.17877867817878723
CelebA,23,0.5,0.05,1.2221925258636475,30.072640213772083,0.827874481678009,0.21693488955497742
CelebA,24,0.5,0.05,1.1172744035720825,28.952105093184898,0.8280587792396545,0.12008779495954514
CelebA,25,0.5,0.05,1.3732130527496338,30.369334680420778,0.8843710422515869,0.10606050491333008
CelebA,26,0.5,0.05,1.429098129272461,27.236056760811692,0.8468376994132996,0.10229423642158508
CelebA,27,0.5,0.05,1.1733635663986206,28.149610745750433,0.8164360523223877,0.14502307772636414
